project_id,project_name,project_type,business_unit,methodology,priority_level,planned_budget_usd,actual_cost_usd,cost_variance_percent,schedule_variance_percent,schedule_variance_days,spi,cpi,planned_value_usd,earned_value_usd,completed_tasks_percent,open_risks_count,open_issues_count,scope_changes_count,resource_utilization_percent,stakeholder_sentiment_score,risk_score,status,recovery_priority,expected_recovery_timeline,recommended_action,start_date,planned_end_date,forecast_end_date
PRJ-0087,ITSM Transformation 87,ITSM Transformation,HR,Waterfall,Medium,221403,215867.92,-2.5,3.43,4,0.96,0.99,185978.52,178539.38,84,0,2,1,78,4.4,16.26,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-05-10,2026-04-07,2026-04-11
PRJ-0088,ERP Implementation 88,ERP Implementation,Procurement,Agile,Critical,767584,764974.21,-0.34,-1.13,2,1.01,1.02,706177.28,713239.05,92,3,2,0,77,4.7,13.9,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2026-02-13,2026-11-18,2026-11-20
PRJ-0089,Vendor Management Platform 89,Vendor Management Platform,Sales,Waterfall,High,711718,747019.21,4.96,-0.74,1,1.0,0.97,704600.82,704600.82,99,2,2,1,81,4.7,21.45,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-12-20,2026-06-13,2026-06-14
PRJ-0090,Identity Access Management 90,Identity Access Management,Customer Experience,Agile,High,2828874,3817848.35,34.96,23.31,28,0.62,0.75,1357859.52,841872.9,48,11,8,6,99,1.5,182.66,Red,Critical,6-8 weeks,Rebaseline project schedule; Review budget burn and cost controls; Escalate high-priority risks to steering committee; Create issue war-room and assign owners,2025-05-01,2025-09-02,2025-09-30
PRJ-0091,Customer Portal Revamp 91,Customer Portal Revamp,Customer Experience,Agile,High,1093556,1252559.04,14.54,9.72,10,0.9,0.9,732682.52,659414.27,67,6,8,4,85,3.9,87.38,Red,Critical,6-8 weeks,Create issue war-room and assign owners,2026-01-12,2026-04-25,2026-05-05
PRJ-0092,ITSM Transformation 92,ITSM Transformation,HR,Hybrid,Critical,352933,362215.14,2.63,-0.5,6,0.99,1.09,328227.69,324945.41,93,1,0,0,64,4.5,9.66,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-02-14,2025-12-28,2026-01-03
PRJ-0093,Mobile App Development 93,Mobile App Development,Customer Experience,Hybrid,High,394527,409558.48,3.81,2.98,7,0.98,1.01,335347.95,328640.99,85,0,1,0,69,4.8,12.05,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-07-04,2025-10-15,2025-10-22
PRJ-0094,DevOps Enablement 94,DevOps Enablement,Enterprise PMO,Agile,High,1433348,1633443.38,13.96,6.66,20,0.95,0.92,1017677.08,966793.23,71,7,6,2,84,3.9,74.11,Red,High,6-8 weeks,,2025-08-19,2025-12-24,2026-01-13
PRJ-0095,Identity Access Management 95,Identity Access Management,Marketing,Agile,Critical,1491745,1660163.01,11.29,13.68,12,0.89,0.94,835377.2,743485.71,56,4,7,3,86,3.1,86.13,Red,Critical,6-8 weeks,,2025-12-30,2026-09-11,2026-09-23
PRJ-0096,License Optimization 96,License Optimization,Customer Experience,Waterfall,High,162690,161063.1,-1.0,2.45,5,0.99,1.05,157809.3,156231.21,97,0,1,2,80,4.2,17.59,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-10-16,2026-07-05,2026-07-10
PRJ-0097,ERP Implementation 97,ERP Implementation,IT,Agile,Critical,705023,788638.73,11.86,13.67,21,0.91,0.84,528767.25,481178.2,75,8,5,4,89,3.2,98.3,Red,Critical,6-8 weeks,Review budget burn and cost controls; Escalate high-priority risks to steering committee,2025-06-02,2026-03-26,2026-04-16
PRJ-0098,Identity Access Management 98,Identity Access Management,Finance,Hybrid,Medium,567002,559234.07,-1.37,2.25,2,1.06,1.0,504631.78,534909.69,89,3,1,1,78,4.6,18.63,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-05-04,2026-01-12,2026-01-14
PRJ-0099,Identity Access Management 99,Identity Access Management,Finance,Agile,Medium,384309,401833.49,4.56,4.05,3,0.99,1.08,318976.47,315786.71,83,2,2,0,67,4.5,23.74,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-08-28,2026-08-16,2026-08-19
PRJ-0100,Network Modernization 100,Network Modernization,Sales,Hybrid,Low,559441,585902.56,4.73,-0.49,2,0.97,1.0,542657.77,526378.04,97,3,2,2,62,4.8,24.78,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-03-10,2026-01-14,2026-01-16
PRJ-0101,Infrastructure Refresh 101,Infrastructure Refresh,Customer Experience,Hybrid,Medium,677983,688084.95,1.49,0.54,1,0.97,1.03,644083.85,624761.33,95,2,0,0,65,4.4,12.29,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-10-13,2026-07-03,2026-07-04
PRJ-0102,Customer Portal Revamp 102,Customer Portal Revamp,Operations,Agile,High,127504,124074.14,-2.69,3.0,4,1.02,0.98,119853.76,122250.84,94,1,2,2,72,4.2,22.8,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-10-31,2026-07-01,2026-07-05
PRJ-0103,Mobile App Development 103,Mobile App Development,Marketing,Waterfall,High,778706,858679.11,10.27,6.17,18,0.91,0.95,568455.38,517294.4,73,6,8,2,91,3.4,82.24,Red,Critical,6-8 weeks,Create issue war-room and assign owners,2026-01-05,2026-07-30,2026-08-17
PRJ-0104,ERP Implementation 104,ERP Implementation,Enterprise PMO,Hybrid,High,947316,1016754.26,7.33,12.81,9,0.9,0.92,577862.76,520076.48,61,4,6,4,88,3.1,83.45,Red,Critical,6-8 weeks,,2025-07-30,2026-02-09,2026-02-18
PRJ-0105,Vendor Management Platform 105,Vendor Management Platform,Enterprise PMO,Waterfall,Critical,280613,315268.71,12.35,11.19,18,0.95,0.89,188010.71,178610.17,67,6,4,5,90,3.3,91.97,Red,Critical,6-8 weeks,Freeze non-critical scope changes,2025-12-13,2026-09-10,2026-09-28
PRJ-0106,Infrastructure Refresh 106,Infrastructure Refresh,Enterprise PMO,Hybrid,Critical,392999,388283.01,-1.2,4.81,1,1.05,1.06,365489.07,383763.52,93,2,3,1,79,4.9,21.05,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-05-28,2026-01-13,2026-01-14
PRJ-0107,Cybersecurity Program 107,Cybersecurity Program,Enterprise PMO,Hybrid,Medium,1697599,2277159.3,34.14,35.51,43,0.61,0.82,509279.7,310660.62,30,14,15,10,96,2.5,219.73,Red,Critical,8-12 weeks,Rebaseline project schedule; Review budget burn and cost controls; Escalate high-priority risks to steering committee; Create issue war-room and assign owners,2025-04-14,2025-10-30,2025-12-12
PRJ-0108,DevOps Enablement 108,DevOps Enablement,Sales,Waterfall,High,725584,746843.61,2.93,-0.33,-3,1.04,1.03,711072.32,739515.21,98,1,0,0,75,4.3,11.62,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-02-21,2026-01-18,2026-01-18
PRJ-0109,Data Warehouse Migration 109,Data Warehouse Migration,IT,Waterfall,Critical,764607,798861.39,4.48,4.15,4,1.04,1.07,665208.09,691816.41,87,2,2,2,63,4.9,26.57,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-11-30,2026-04-14,2026-04-18
PRJ-0110,Data Governance Program 110,Data Governance Program,Procurement,Hybrid,High,984274,1219909.2,23.94,36.26,27,0.83,0.69,551193.44,457490.56,56,11,12,5,92,1.9,180.37,Red,Critical,6-8 weeks,Rebaseline project schedule; Review budget burn and cost controls; Escalate high-priority risks to steering committee; Create issue war-room and assign owners,2025-06-21,2025-11-12,2025-12-09
PRJ-0111,AI Adoption Program 111,AI Adoption Program,HR,Waterfall,High,220718,229127.36,3.81,1.28,0,1.06,1.01,203060.56,215244.19,92,2,1,0,72,4.8,14.84,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-03-31,2025-10-05,2025-10-05
PRJ-0112,Digital Workplace Rollout 112,Digital Workplace Rollout,Risk & Compliance,Waterfall,High,781765,764253.46,-2.24,4.87,4,1.0,0.99,672317.9,672317.9,86,3,1,1,70,5.0,18.83,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-10-26,2026-06-27,2026-07-01
PRJ-0113,Data Governance Program 113,Data Governance Program,IT,Agile,Medium,780224,764229.41,-2.05,0.15,3,1.04,1.09,678794.88,705946.68,87,0,2,1,81,4.2,14.69,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-09-02,2026-02-07,2026-02-10
PRJ-0114,Data Warehouse Migration 114,Data Warehouse Migration,HR,Hybrid,High,655914,684118.3,4.3,3.3,7,1.06,1.07,649354.86,688316.15,99,0,3,2,84,4.4,30.65,Amber,Low,2-4 weeks,,2025-02-01,2025-06-28,2025-07-05
PRJ-0115,DevOps Enablement 115,DevOps Enablement,Marketing,Agile,High,625617,628932.77,0.53,2.76,6,1.02,1.09,575567.64,587078.99,92,0,3,0,78,4.4,15.02,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-10-14,2026-02-10,2026-02-16
PRJ-0116,Identity Access Management 116,Identity Access Management,Sales,Hybrid,Medium,606972,674952.86,11.2,6.45,19,0.92,0.9,339904.32,312711.97,56,4,6,2,86,3.4,69.23,Red,High,6-8 weeks,,2026-01-28,2026-07-06,2026-07-25
PRJ-0117,Business Intelligence Dashboard 117,Business Intelligence Dashboard,Customer Experience,Waterfall,Medium,1833334,2257567.49,23.14,32.7,59,0.63,0.8,586666.88,369600.13,32,11,16,8,100,1.7,202.18,Red,Critical,8-12 weeks,Rebaseline project schedule; Review budget burn and cost controls; Escalate high-priority risks to steering committee; Create issue war-room and assign owners,2026-03-04,2026-09-24,2026-11-22
PRJ-0118,Cloud Migration 118,Cloud Migration,IT,Waterfall,Medium,1039460,1151617.73,10.79,14.23,15,0.89,0.86,634070.6,564322.83,61,4,3,5,91,3.7,84.95,Red,Critical,6-8 weeks,Freeze non-critical scope changes,2025-05-04,2025-08-10,2025-08-25
PRJ-0119,Procurement Automation 119,Procurement Automation,Finance,Agile,Low,252081,272751.64,8.2,6.44,22,0.87,0.86,206706.42,179834.59,82,4,4,4,85,3.7,64.11,Red,High,6-8 weeks,,2025-10-23,2026-07-03,2026-07-25
PRJ-0120,Digital Workplace Rollout 120,Digital Workplace Rollout,Customer Experience,Agile,Critical,2436285,2928414.57,20.2,23.91,28,0.73,0.74,877062.6,640255.7,36,15,16,8,92,2.9,178.82,Red,Critical,8-12 weeks,Rebaseline project schedule; Review budget burn and cost controls; Escalate high-priority risks to steering committee; Create issue war-room and assign owners,2026-02-07,2026-11-19,2026-12-17
PRJ-0121,Vendor Management Platform 121,Vendor Management Platform,Customer Experience,Hybrid,Medium,272811,281104.45,3.04,1.31,0,1.0,1.06,250986.12,250986.12,92,0,3,1,79,4.5,18.35,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-05-05,2026-02-17,2026-02-17
PRJ-0122,Infrastructure Refresh 122,Infrastructure Refresh,Procurement,Agile,Low,469102,458500.29,-2.26,3.07,0,0.97,1.01,455028.94,441378.07,97,0,0,0,80,4.7,6.39,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-09-03,2026-03-23,2026-03-23
PRJ-0123,Procurement Automation 123,Procurement Automation,Customer Experience,Agile,Critical,279254,292378.94,4.7,-1.18,4,1.07,1.06,234573.36,250993.5,84,3,1,2,72,4.8,22.74,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-08-27,2026-06-07,2026-06-11
PRJ-0124,DevOps Enablement 124,DevOps Enablement,Customer Experience,Agile,Medium,2204562,2598517.23,17.87,39.57,55,0.78,0.67,837733.56,653432.18,38,14,13,8,92,2.3,192.68,Red,Critical,8-12 weeks,Rebaseline project schedule; Review budget burn and cost controls; Escalate high-priority risks to steering committee; Create issue war-room and assign owners,2026-01-15,2026-08-06,2026-09-30
PRJ-0125,Data Warehouse Migration 125,Data Warehouse Migration,IT,Agile,Critical,1025724,1114551.7,8.66,7.96,15,0.88,0.93,718006.8,631845.98,70,8,8,4,86,3.7,85.74,Red,Critical,6-8 weeks,Escalate high-priority risks to steering committee; Create issue war-room and assign owners,2026-01-06,2026-12-12,2026-12-27
PRJ-0126,Network Modernization 126,Network Modernization,HR,Agile,High,653095,659038.16,0.91,4.42,5,1.08,1.09,613909.3,663022.04,94,0,0,2,63,4.8,14.44,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-03-12,2026-01-07,2026-01-12
PRJ-0127,License Optimization 127,License Optimization,Finance,Hybrid,Low,471329,459451.51,-2.52,2.46,6,1.07,1.05,367636.62,393371.18,78,0,3,0,62,4.5,13.2,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-10-02,2026-05-20,2026-05-26
PRJ-0128,AI Adoption Program 128,AI Adoption Program,IT,Hybrid,High,267974,262239.36,-2.14,-1.33,-1,0.99,1.05,230457.64,228153.06,86,2,2,1,64,4.4,16.8,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-08-24,2026-06-17,2026-06-17
PRJ-0129,Data Governance Program 129,Data Governance Program,Procurement,Waterfall,Medium,319065,356969.92,11.88,14.58,9,0.85,0.88,229726.8,195267.78,72,7,3,2,93,3.2,91.41,Red,Critical,6-8 weeks,Add temporary resources or rebalance workload,2025-08-11,2026-07-22,2026-07-31
PRJ-0130,Mobile App Development 130,Mobile App Development,Enterprise PMO,Waterfall,Critical,428475,515755.36,20.37,37.73,55,0.66,0.81,179959.5,118773.27,42,9,10,7,92,2.8,167.79,Red,Critical,8-12 weeks,Rebaseline project schedule; Review budget burn and cost controls; Escalate high-priority risks to steering committee; Create issue war-room and assign owners,2026-01-21,2026-07-03,2026-08-27
PRJ-0131,Payment Platform Upgrade 131,Payment Platform Upgrade,Finance,Agile,High,966120,1082923.91,12.09,11.41,20,0.92,0.86,743912.4,684399.41,77,4,7,4,82,3.1,82.74,Red,Critical,6-8 weeks,,2026-03-06,2026-09-30,2026-10-20
PRJ-0132,CRM Modernization 132,CRM Modernization,Customer Experience,Hybrid,High,834461,886781.7,6.27,8.73,22,0.89,0.88,559088.87,497589.09,67,7,4,5,83,3.7,73.07,Red,High,6-8 weeks,Freeze non-critical scope changes,2026-02-13,2026-10-12,2026-11-03
PRJ-0133,License Optimization 133,License Optimization,Finance,Agile,Medium,1479386,1588712.63,7.39,9.9,19,0.85,0.84,946807.04,804785.98,64,7,5,4,83,3.1,79.74,Red,Critical,6-8 weeks,Review budget burn and cost controls,2025-08-09,2026-02-10,2026-03-01
PRJ-0134,Identity Access Management 134,Identity Access Management,Marketing,Hybrid,Medium,451106,457556.82,1.43,2.18,2,1.06,0.96,410506.46,435136.85,91,3,0,2,79,4.9,18.85,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-10-20,2026-05-22,2026-05-24
PRJ-0135,Vendor Management Platform 135,Vendor Management Platform,Operations,Hybrid,Medium,361444,364841.57,0.94,-1.56,3,0.99,1.0,289155.2,286263.65,80,2,2,0,82,4.5,16.33,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-08-23,2026-03-01,2026-03-04
PRJ-0136,Cybersecurity Program 136,Cybersecurity Program,Operations,Agile,Critical,730318,730610.13,0.04,4.04,4,1.0,1.07,715711.64,715711.64,98,1,2,1,81,4.9,16.7,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-09-03,2026-03-14,2026-03-18
PRJ-0137,Mobile App Development 137,Mobile App Development,Operations,Waterfall,Critical,743646,750561.91,0.93,2.03,0,1.0,1.0,669281.4,669281.4,90,2,0,2,68,4.6,17.96,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-12-16,2026-06-16,2026-06-16
PRJ-0138,DevOps Enablement 138,DevOps Enablement,IT,Waterfall,Medium,1069506,1210466.89,13.18,14.31,10,0.93,0.93,727264.08,676355.59,68,7,4,4,85,3.2,91.82,Red,Critical,6-8 weeks,,2026-01-02,2026-06-19,2026-06-29
PRJ-0139,Business Intelligence Dashboard 139,Business Intelligence Dashboard,Risk & Compliance,Agile,Critical,500274,506627.48,1.27,4.46,3,1.03,1.07,445243.86,458601.18,89,0,0,0,83,4.7,13.02,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-11-28,2026-05-22,2026-05-25
PRJ-0140,Digital Workplace Rollout 140,Digital Workplace Rollout,IT,Hybrid,High,845408,969598.44,14.69,10.3,8,0.85,0.86,659418.24,560505.5,78,8,7,3,89,3.3,97.52,Red,Critical,6-8 weeks,Escalate high-priority risks to steering committee,2026-01-31,2026-12-24,2027-01-01
PRJ-0141,Data Governance Program 141,Data Governance Program,Marketing,Agile,Critical,389783,391069.28,0.33,4.73,-2,1.06,1.06,346906.87,367721.28,89,2,2,1,68,4.5,22.55,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-09-01,2026-05-27,2026-05-27
PRJ-0142,Cybersecurity Program 142,Cybersecurity Program,HR,Hybrid,Medium,126853,131267.48,3.48,-1.19,2,1.04,1.05,105287.99,109499.51,83,1,1,2,67,4.3,20.28,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-08-25,2026-06-29,2026-07-01
PRJ-0143,License Optimization 143,License Optimization,Risk & Compliance,Hybrid,Medium,979596,1040918.71,6.26,12.14,14,0.89,0.89,538777.8,479512.24,55,5,4,4,94,3.6,82.39,Red,Critical,6-8 weeks,Add temporary resources or rebalance workload,2025-10-23,2026-02-22,2026-03-08
PRJ-0144,Cybersecurity Program 144,Cybersecurity Program,Marketing,Agile,Medium,355097,363512.8,2.37,1.43,7,1.0,1.01,319587.3,319587.3,90,0,2,1,76,4.6,14.9,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-11-11,2026-07-11,2026-07-18
PRJ-0145,Data Governance Program 145,Data Governance Program,Finance,Hybrid,Medium,202629,199508.51,-1.54,2.85,5,1.01,1.04,194523.84,196469.08,96,3,3,0,77,4.6,20.41,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-10-12,2026-04-08,2026-04-13
PRJ-0146,ITSM Transformation 146,ITSM Transformation,HR,Agile,Medium,1448996,1542890.94,6.48,9.59,8,0.89,0.86,970827.32,864036.31,67,8,7,5,88,3.6,89.24,Red,Critical,6-8 weeks,Escalate high-priority risks to steering committee; Freeze non-critical scope changes,2025-12-30,2026-10-28,2026-11-05
PRJ-0147,Identity Access Management 147,Identity Access Management,HR,Agile,High,612483,665340.28,8.63,8.75,17,0.86,0.89,477736.74,410853.6,78,7,7,2,91,3.1,86.53,Red,Critical,6-8 weeks,,2025-10-05,2026-07-09,2026-07-26
PRJ-0148,ERP Implementation 148,ERP Implementation,HR,Hybrid,Critical,765424,788463.26,3.01,0.08,-3,1.01,1.01,612339.2,618462.59,80,3,0,0,68,4.8,12.82,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-12-30,2026-09-25,2026-09-25
PRJ-0149,Digital Workplace Rollout 149,Digital Workplace Rollout,Risk & Compliance,Agile,Low,296995,307211.63,3.44,1.99,5,0.99,1.04,261355.6,258742.04,88,2,2,2,70,5.0,21.71,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-12-14,2026-12-02,2026-12-07
PRJ-0150,Cybersecurity Program 150,Cybersecurity Program,Operations,Waterfall,High,1413179,1872038.22,32.47,19.92,33,0.66,0.76,565271.6,373079.26,40,15,15,6,96,2.4,188.76,Red,Critical,8-12 weeks,Rebaseline project schedule; Review budget burn and cost controls; Escalate high-priority risks to steering committee; Create issue war-room and assign owners,2025-08-20,2026-05-29,2026-07-01
PRJ-0151,CRM Modernization 151,CRM Modernization,Finance,Agile,High,923998,1017229.4,10.09,10.88,8,0.94,0.93,526678.86,495078.13,57,7,8,4,83,3.7,85.45,Red,Critical,6-8 weeks,Create issue war-room and assign owners,2025-04-22,2026-02-09,2026-02-17
PRJ-0152,Business Intelligence Dashboard 152,Business Intelligence Dashboard,Procurement,Hybrid,Medium,653896,664489.12,1.62,1.96,4,1.05,1.09,516577.84,542406.73,79,0,0,2,76,4.0,18.49,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-08-14,2026-01-31,2026-02-04
PRJ-0153,Identity Access Management 153,Identity Access Management,IT,Waterfall,Medium,803283,1066438.51,32.76,23.94,42,0.62,0.68,240984.9,149410.64,30,14,18,10,94,1.6,214.03,Red,Critical,8-12 weeks,Rebaseline project schedule; Review budget burn and cost controls; Escalate high-priority risks to steering committee; Create issue war-room and assign owners,2026-01-07,2026-09-10,2026-10-22
PRJ-0154,License Optimization 154,License Optimization,Risk & Compliance,Hybrid,High,579968,566164.76,-2.38,2.16,5,1.04,0.96,510371.84,530786.71,88,0,3,2,66,4.5,18.81,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-07-16,2026-02-08,2026-02-13
PRJ-0155,CRM Modernization 155,CRM Modernization,Finance,Agile,Medium,481312,496665.85,3.19,3.27,-1,1.04,1.05,385049.6,400451.58,80,0,1,1,73,4.7,15.48,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-07-30,2026-01-13,2026-01-13
PRJ-0156,Digital Workplace Rollout 156,Digital Workplace Rollout,HR,Waterfall,Low,209139,212736.19,1.72,0.69,3,1.0,0.98,179859.54,179859.54,86,0,1,2,81,4.6,15.26,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2026-02-03,2026-09-26,2026-09-29
PRJ-0157,Cloud Migration 157,Cloud Migration,Sales,Agile,High,490780,487639.01,-0.64,-1.62,0,1.02,0.98,456425.4,465553.91,93,0,0,1,72,4.1,10.2,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-07-07,2026-05-08,2026-05-08
PRJ-0158,DevOps Enablement 158,DevOps Enablement,Operations,Hybrid,Critical,185000,205886.5,11.29,6.14,14,0.84,0.85,148000.0,124320.0,80,7,7,4,92,3.6,89.43,Red,Critical,6-8 weeks,Rebaseline project schedule; Add temporary resources or rebalance workload,2025-08-05,2026-06-03,2026-06-17
PRJ-0159,Payment Platform Upgrade 159,Payment Platform Upgrade,Finance,Hybrid,High,167657,166785.18,-0.52,1.58,0,1.08,0.98,147538.16,159341.21,88,3,0,1,84,4.4,21.75,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-01-30,2025-08-30,2025-08-30
PRJ-0160,License Optimization 160,License Optimization,Finance,Waterfall,Low,265403,288705.38,8.78,13.42,13,0.85,0.92,204360.31,173706.26,77,4,4,5,87,3.5,80.68,Red,Critical,6-8 weeks,Freeze non-critical scope changes,2025-03-27,2025-11-04,2025-11-17
PRJ-0161,Customer Portal Revamp 161,Customer Portal Revamp,Operations,Hybrid,Critical,397582,449029.11,12.94,6.29,21,0.87,0.85,306138.14,266340.18,77,8,8,2,89,3.4,88.41,Red,Critical,6-8 weeks,Escalate high-priority risks to steering committee; Create issue war-room and assign owners,2025-01-29,2025-10-30,2025-11-20
PRJ-0162,Network Modernization 162,Network Modernization,Enterprise PMO,Agile,Medium,1353581,1516958.23,12.07,7.15,24,0.84,0.93,744469.55,625354.42,55,5,3,5,87,3.3,78.58,Red,Critical,6-8 weeks,Rebaseline project schedule; Freeze non-critical scope changes,2025-04-02,2025-09-15,2025-10-09
PRJ-0163,ERP Implementation 163,ERP Implementation,Marketing,Waterfall,High,620842,676096.94,8.9,10.16,18,0.87,0.85,409755.72,356487.48,66,4,7,2,84,3.2,72.69,Red,High,6-8 weeks,,2025-01-24,2026-01-13,2026-01-31
PRJ-0164,Payment Platform Upgrade 164,Payment Platform Upgrade,Finance,Waterfall,Critical,801580,873321.41,8.95,11.53,8,0.88,0.87,641264.0,564312.32,80,6,8,3,89,3.3,89.23,Red,Critical,6-8 weeks,Create issue war-room and assign owners,2026-01-31,2027-01-08,2027-01-16
PRJ-0165,Procurement Automation 165,Procurement Automation,Marketing,Hybrid,Medium,509954,495624.29,-2.81,1.79,7,1.06,1.08,448759.52,475685.09,88,0,3,2,71,4.1,21.53,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-05-02,2026-04-28,2026-05-05
PRJ-0166,Business Intelligence Dashboard 166,Business Intelligence Dashboard,HR,Waterfall,Critical,373418,364978.75,-2.26,4.45,5,1.01,1.09,343544.56,346980.01,92,0,0,2,66,4.6,14.99,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-02-08,2025-11-26,2025-12-01
PRJ-0167,Data Governance Program 167,Data Governance Program,Enterprise PMO,Agile,High,385844,382332.82,-0.91,0.21,3,1.04,1.06,339542.72,353124.43,88,3,2,0,64,4.9,12.57,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2026-02-04,2026-07-13,2026-07-16
PRJ-0168,Data Governance Program 168,Data Governance Program,Finance,Agile,Medium,506259,495981.94,-2.03,0.51,0,1.01,1.02,410069.79,414170.49,81,0,1,2,71,4.8,10.26,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-04-21,2025-08-09,2025-08-09
PRJ-0169,Mobile App Development 169,Mobile App Development,Operations,Agile,Medium,618401,602260.73,-2.61,0.09,-1,0.96,1.02,568928.92,546171.76,92,1,0,1,65,4.8,7.22,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-03-04,2025-08-12,2025-08-12
PRJ-0170,Cloud Migration 170,Cloud Migration,IT,Waterfall,Critical,500040,499939.99,-0.02,2.41,7,0.97,1.04,400032.0,388031.04,80,0,0,0,82,4.4,10.13,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-02-17,2025-07-22,2025-07-29
PRJ-0171,Mobile App Development 171,Mobile App Development,Finance,Agile,Medium,681761,684965.28,0.47,3.07,4,0.96,1.06,565861.63,543227.16,83,2,1,0,70,4.3,17.16,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-01-18,2025-07-03,2025-07-07
PRJ-0172,Digital Workplace Rollout 172,Digital Workplace Rollout,Enterprise PMO,Hybrid,High,657438,662894.74,0.83,-1.39,3,0.98,0.99,617991.72,605631.89,94,1,0,1,84,4.4,15.7,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-06-26,2026-05-30,2026-06-02
PRJ-0173,Data Governance Program 173,Data Governance Program,Marketing,Agile,Medium,706121,697294.49,-1.25,4.27,1,0.97,1.1,663753.74,643841.13,94,2,1,0,65,4.2,18.95,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-05-17,2025-12-16,2025-12-17
PRJ-0174,DevOps Enablement 174,DevOps Enablement,IT,Hybrid,Critical,964581,1053225.99,9.19,14.39,13,0.86,0.91,771664.8,663631.73,80,6,7,2,93,3.6,90.23,Red,Critical,6-8 weeks,Add temporary resources or rebalance workload,2025-10-16,2026-03-27,2026-04-09
PRJ-0175,Procurement Automation 175,Procurement Automation,HR,Hybrid,Medium,138896,137312.59,-1.14,-0.47,5,1.02,1.01,134729.12,137423.7,97,1,1,1,84,4.2,18.3,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-01-31,2025-10-13,2025-10-18
